     Energy       Flux            PL            PC          PL45   Filtered
         eV  ph/s/0.1%             -             -             -          -
1.00000e+02  2.056e+11  9.918796e-01  0.000000e+00  0.000000e+00  2.051e+11
2.00000e+02  3.266e+11  9.874421e-01  0.000000e+00  0.000000e+00  3.204e+11
3.00000e+02  4.279e+11  9.838953e-01  0.000000e+00  0.000000e+00  4.184e+11
4.00000e+02  5.182e+11  9.808572e-01  0.000000e+00  0.000000e+00  5.070e+11
5.00000e+02  6.008e+11  9.781659e-01  0.000000e+00  0.000000e+00  5.882e+11
6.00000e+02  6.778e+11  9.757334e-01  0.000000e+00  0.000000e+00  6.631e+11
7.00000e+02  7.502e+11  9.735044e-01  0.000000e+00  0.000000e+00  7.339e+11
8.00000e+02  8.189e+11  9.714419e-01  0.000000e+00  0.000000e+00  8.008e+11
9.00000e+02  8.844e+11  9.695188e-01  0.000000e+00  0.000000e+00  8.647e+11
1.00000e+03  9.471e+11  9.677152e-01  0.000000e+00  0.000000e+00  9.260e+11
1.10000e+03  1.007e+12  9.660155e-01  0.000000e+00  0.000000e+00  9.853e+11
1.20000e+03  1.065e+12  9.644072e-01  0.000000e+00  0.000000e+00  1.042e+12
1.30000e+03  1.122e+12  9.628802e-01  0.000000e+00  0.000000e+00  1.097e+12
1.40000e+03  1.176e+12  9.614264e-01  0.000000e+00  0.000000e+00  1.150e+12
1.50000e+03  1.228e+12  9.600386e-01  0.000000e+00  0.000000e+00  1.202e+12
1.60000e+03  1.279e+12  9.587109e-01  0.000000e+00  0.000000e+00  1.251e+12
1.70000e+03  1.329e+12  9.574383e-01  0.000000e+00  0.000000e+00  1.299e+12
1.80000e+03  1.377e+12  9.562163e-01  0.000000e+00  0.000000e+00  1.345e+12
1.90000e+03  1.424e+12  9.550412e-01  0.000000e+00  0.000000e+00  1.389e+12
2.00000e+03  1.470e+12  9.539093e-01  0.000000e+00  0.000000e+00  1.430e+12
2.10000e+03  1.514e+12  9.528179e-01  0.000000e+00  0.000000e+00  1.452e+12
